deck_name,finish_dt,placement,tournament,host,set_name,leader_id,leader_name,color,color_numbers,primary_color,secondary_color,life,power
Smoker,2025-08-14,1st,SB,LaBatikueva,eb-02-deck-list-anime-25th-collection,OP10-001,Smoker,Red/Green,2,Red,Green,4,5000
Smoker,2025-08-10,1st,SB,Misatoconics,eb-02-deck-list-anime-25th-collection,OP10-001,Smoker,Red/Green,2,Red,Green,4,5000
Smoker,2025-07-27,1st,Online,ChinoizeCup,eb-02-deck-list-anime-25th-collection,OP10-001,Smoker,Red/Green,2,Red,Green,4,5000
Smoker,2025-07-11,1st,SB,Wonderland Games,eb-02-deck-list-anime-25th-collection,OP10-001,Smoker,Red/Green,2,Red,Green,4,5000
Smoker,2025-08-03,T4,EU Final,Bandai,eb-02-deck-list-anime-25th-collection,OP10-001,Smoker,Red/Green,2,Red,Green,4,5000
Smoker,2025-07-12,T4,ShopEvent,GeekLogia,eb-02-deck-list-anime-25th-collection,OP10-001,Smoker,Red/Green,2,Red,Green,4,5000
Smoker,2025-06-22,1st,Regional,Amsterdam Regional,eb-02-deck-list-anime-25th-collection,OP10-001,Smoker,Red/Green,2,Red,Green,4,5000
Smoker,2025-07-27,T8,ShopEvent,Emperors Treasure,eb-02-deck-list-anime-25th-collection,OP10-001,Smoker,Red/Green,2,Red,Green,4,5000
Smoker,2025-06-24,1st,Online,ChinoizeCup,eb-02-deck-list-anime-25th-collection,OP10-001,Smoker,Red/Green,2,Red,Green,4,5000
Smoker,2025-05-30,1st,OP11 PreRelease,Gameday Toys and Games,eb-02-deck-list-anime-25th-collection,OP10-001,Smoker,Red/Green,2,Red,Green,4,5000
Smoker,2025-06-14,T4,Regional,Dublin Regionals,eb-02-deck-list-anime-25th-collection,OP10-001,Smoker,Red/Green,2,Red,Green,4,5000
Smoker,2025-06-22,T16,Regional,Amsterdam Regional,eb-02-deck-list-anime-25th-collection,OP10-001,Smoker,Red/Green,2,Red,Green,4,5000
Sugar,2025-05-25,1st,Store TC,LGS,eb-02-deck-list-anime-25th-collection,OP10-003,Sugar,Red/Purple,2,Red,Purple,4,5000
Sugar,2025-05-18,1st,Store TC,Blackout TCG,eb-02-deck-list-anime-25th-collection,OP10-003,Sugar,Red/Purple,2,Red,Purple,4,5000
Teach,2025-05-24,T8,Regional,TopCut Event,eb-02-deck-list-anime-25th-collection,OP09-081,Marshall.D.Teach,Black,1,Black,--,5,5000
Teach,2025-06-28,T32,Regional,Toulouse Regional,eb-02-deck-list-anime-25th-collection,OP09-081,Marshall.D.Teach,Black,1,Black,--,5,5000
Teach,2025-08-10,T8,TC,TAKGames,eb-02-deck-list-anime-25th-collection,OP09-081,Marshall.D.Teach,Black,1,Black,--,5,5000
Teach,2025-06-22,--,Regional,CoreTCG,eb-02-deck-list-anime-25th-collection,OP09-081,Marshall.D.Teach,Black,1,Black,--,5,5000
Teach,2025-05-18,1st,Store TC,LGS,eb-02-deck-list-anime-25th-collection,OP09-081,Marshall.D.Teach,Black,1,Black,--,5,5000
Teach,2025-05-20,1st,Store TC,East Coast Anime,eb-02-deck-list-anime-25th-collection,OP09-081,Marshall.D.Teach,Black,1,Black,--,5,5000
Teach,2025-05-31,T16,TC,TAK Games,eb-02-deck-list-anime-25th-collection,OP09-081,Marshall.D.Teach,Black,1,Black,--,5,5000
Teach,2025-05-31,T32,TC,Unsung Events,eb-02-deck-list-anime-25th-collection,OP09-081,Marshall.D.Teach,Black,1,Black,--,5,5000
Teach,2025-06-21,T16,Regional,LPG,eb-02-deck-list-anime-25th-collection,OP09-081,Marshall.D.Teach,Black,1,Black,--,5,5000
Teach,2025-08-17,T8,Regional,Manchester Regional,eb-02-deck-list-anime-25th-collection,OP09-081,Marshall.D.Teach,Black,1,Black,--,5,5000
Teach,2025-06-22,T32,Regional,CoreTCG,eb-02-deck-list-anime-25th-collection,OP09-081,Marshall.D.Teach,Black,1,Black,--,5,5000
Teach,2025-05-13,1st,SB,Akibara Xpress,eb-02-deck-list-anime-25th-collection,OP09-081,Marshall.D.Teach,Black,1,Black,--,5,5000
Teach,2025-05-31,T4,TC,TAK Games,eb-02-deck-list-anime-25th-collection,OP09-081,Marshall.D.Teach,Black,1,Black,--,5,5000
Teach,2025-05-31,T16,TC,TAK Games,eb-02-deck-list-anime-25th-collection,OP09-081,Marshall.D.Teach,Black,1,Black,--,5,5000
Teach,2025-06-05,T4,ShopEvent,LCDG Spring,eb-02-deck-list-anime-25th-collection,OP09-081,Marshall.D.Teach,Black,1,Black,--,5,5000
Teach,2025-06-07,T4,Regional,PPG,eb-02-deck-list-anime-25th-collection,OP09-081,Marshall.D.Teach,Black,1,Black,--,5,5000
Teach,2025-08-03,1st,EU Final,Bandai,eb-02-deck-list-anime-25th-collection,OP09-081,Marshall.D.Teach,Black,1,Black,--,5,5000
Teach,2025-05-26,1st,Online,ChinoizeCup,eb-02-deck-list-anime-25th-collection,OP09-081,Marshall.D.Teach,Black,1,Black,--,5,5000
Teach,2025-06-22,T8,Regional,CoreTCG,eb-02-deck-list-anime-25th-collection,OP09-081,Marshall.D.Teach,Black,1,Black,--,5,5000
Teach,2025-05-31,T8,TC,UKGE,eb-02-deck-list-anime-25th-collection,OP09-081,Marshall.D.Teach,Black,1,Black,--,5,5000
Teach,2025-06-08,T4,Regional,OPE,eb-02-deck-list-anime-25th-collection,OP09-081,Marshall.D.Teach,Black,1,Black,--,5,5000
Teach,2025-07-27,T8,ShopEvent,Emperors Treasure,eb-02-deck-list-anime-25th-collection,OP09-081,Marshall.D.Teach,Black,1,Black,--,5,5000
Teach,2025-05-10,T32,Regional,CartaMagica,eb-02-deck-list-anime-25th-collection,OP09-081,Marshall.D.Teach,Black,1,Black,--,5,5000
Teach,2025-06-06,1st,SB,LCDG,eb-02-deck-list-anime-25th-collection,OP09-081,Marshall.D.Teach,Black,1,Black,--,5,5000
Teach,2025-08-02,T4,TC,PlayTCG,eb-02-deck-list-anime-25th-collection,OP09-081,Marshall.D.Teach,Black,1,Black,--,5,5000
Teach,2025-08-03,T16,EU Final,Bandai,eb-02-deck-list-anime-25th-collection,OP09-081,Marshall.D.Teach,Black,1,Black,--,5,5000
Teach,2025-05-17,T4,Store TC,Akai Games,eb-02-deck-list-anime-25th-collection,OP09-081,Marshall.D.Teach,Black,1,Black,--,5,5000
Teach,2025-06-25,1st,Online,Chinoize Cup,eb-02-deck-list-anime-25th-collection,OP09-081,Marshall.D.Teach,Black,1,Black,--,5,5000
Usopp,2025-05-10,1st,SB,Beskar,eb-02-deck-list-anime-25th-collection,OP10-042,Usopp,Blue/Black,2,Blue,Black,4,5000
Usopp,2025-05-18,1st,Store TC,RWTCollective,eb-02-deck-list-anime-25th-collection,OP10-042,Usopp,Blue/Black,2,Blue,Black,4,5000
Usopp,2025-05-26,1st,Store TC,Underdome Gamers Vault,eb-02-deck-list-anime-25th-collection,OP10-042,Usopp,Blue/Black,2,Blue,Black,4,5000
Usopp,2025-05-11,1st,SB,Kollecter,eb-02-deck-list-anime-25th-collection,OP10-042,Usopp,Blue/Black,2,Blue,Black,4,5000
Usopp,2025-06-07,T16,Regional,PPG,eb-02-deck-list-anime-25th-collection,OP10-042,Usopp,Blue/Black,2,Blue,Black,4,5000
Usopp,2025-05-12,1st,SB,LGS,eb-02-deck-list-anime-25th-collection,OP10-042,Usopp,Blue/Black,2,Blue,Black,4,5000
Usopp,2025-05-21,1st,Store TC,BattleCity,eb-02-deck-list-anime-25th-collection,OP10-042,Usopp,Blue/Black,2,Blue,Black,4,5000
Vegapunk,2025-05-17,T16,TC,The Booster Box,eb-02-deck-list-anime-25th-collection,OP07-097,Vegapunk,Yellow,1,Yellow,--,2,5000
Vegapunk,2025-05-24,1st,Store TC,LGS,eb-02-deck-list-anime-25th-collection,OP07-097,Vegapunk,Yellow,1,Yellow,--,2,5000
Vegapunk,2025-05-17,T4,Store TC,Akai Games,eb-02-deck-list-anime-25th-collection,OP07-097,Vegapunk,Yellow,1,Yellow,--,2,5000
Vegapunk,2025-08-03,1st,SB,Sci Fi Factory,eb-02-deck-list-anime-25th-collection,OP07-097,Vegapunk,Yellow,1,Yellow,--,2,5000
Vegapunk,2025-05-20,1st,Store TC,LGS,eb-02-deck-list-anime-25th-collection,OP07-097,Vegapunk,Yellow,1,Yellow,--,2,5000
Vegapunk,2025-05-14,1st,Online,ChinoizeCup,eb-02-deck-list-anime-25th-collection,OP07-097,Vegapunk,Yellow,1,Yellow,--,2,5000
Vegapunk,2025-05-31,T4,TC,UKGE,eb-02-deck-list-anime-25th-collection,OP07-097,Vegapunk,Yellow,1,Yellow,--,2,5000
WB,2025-06-22,T16,Regional,CoreTCG,eb-02-deck-list-anime-25th-collection,OP02-001,Edward.Newgate,Red,1,Red,--,6,6000
WB,2025-05-18,1st,SB,Freaky Store,eb-02-deck-list-anime-25th-collection,OP02-001,Edward.Newgate,Red,1,Red,--,6,6000
WB,2025-05-24,1st,Store TC,LGS,eb-02-deck-list-anime-25th-collection,OP02-001,Edward.Newgate,Red,1,Red,--,6,6000
WB,2025-05-23,1st,ShopEvent,Dreamhack,eb-02-deck-list-anime-25th-collection,OP02-001,Edward.Newgate,Red,1,Red,--,6,6000
WB,2025-05-31,T16,TC,Unsung Events,eb-02-deck-list-anime-25th-collection,OP02-001,Edward.Newgate,Red,1,Red,--,6,6000
Whitebeard,2025-06-14,T8,Regional,Versus Games,eb-02-deck-list-anime-25th-collection,OP02-001,Edward.Newgate,Red,1,Red,--,6,6000
YB Ace,2025-06-20,1st,SB,Beyond Odyssey,eb-02-deck-list-anime-25th-collection,ST13-002,Portgas.D.Ace,Blue/Yellow,2,Blue,Yellow,4,5000
Yamato,2025-06-17,1st,SB,LGS,eb-02-deck-list-anime-25th-collection,OP06-022,Yamato,Green/Yellow,2,Green,Yellow,4,5000
Yamato,2025-06-14,T16,Regional,Versus Games,eb-02-deck-list-anime-25th-collection,OP06-022,Yamato,Green/Yellow,2,Green,Yellow,4,5000
Yamato,2025-08-07,1st,SB,LGS,eb-02-deck-list-anime-25th-collection,OP06-022,Yamato,Green/Yellow,2,Green,Yellow,4,5000
Yamato,2025-08-14,1st,SB,Hadouken,eb-02-deck-list-anime-25th-collection,OP06-022,Yamato,Green/Yellow,2,Green,Yellow,4,5000
Yamato,2025-07-11,1st,SB,LGS,eb-02-deck-list-anime-25th-collection,OP06-022,Yamato,Green/Yellow,2,Green,Yellow,4,5000
Yamato,2025-07-16,1st,SB,LGS,eb-02-deck-list-anime-25th-collection,OP06-022,Yamato,Green/Yellow,2,Green,Yellow,4,5000
Yamato,2025-07-03,1st,SB,LGS,eb-02-deck-list-anime-25th-collection,OP06-022,Yamato,Green/Yellow,2,Green,Yellow,4,5000
Yamato,2025-06-05,1st,ShopEvent,LCDG Spring,eb-02-deck-list-anime-25th-collection,OP06-022,Yamato,Green/Yellow,2,Green,Yellow,4,5000
Yamato,2025-08-16,1st,ShopEvent,Dimagames,eb-02-deck-list-anime-25th-collection,OP06-022,Yamato,Green/Yellow,2,Green,Yellow,4,5000
Yamato,2025-08-01,1st,SB,SekaiGames,eb-02-deck-list-anime-25th-collection,OP06-022,Yamato,Green/Yellow,2,Green,Yellow,4,5000
Yamato,2025-06-01,T4,Regional,TAK Games,eb-02-deck-list-anime-25th-collection,OP06-022,Yamato,Green/Yellow,2,Green,Yellow,4,5000
Yamato,2025-07-08,1st,SB,CardPop,eb-02-deck-list-anime-25th-collection,OP06-022,Yamato,Green/Yellow,2,Green,Yellow,4,5000
Yamato,2025-06-11,1st,SB,LGS,eb-02-deck-list-anime-25th-collection,OP06-022,Yamato,Green/Yellow,2,Green,Yellow,4,5000
Yamato,2025-08-09,1st,SB,Dimagames,eb-02-deck-list-anime-25th-collection,OP06-022,Yamato,Green/Yellow,2,Green,Yellow,4,5000
Yamato,2025-06-24,1st,SB,LGS,eb-02-deck-list-anime-25th-collection,OP06-022,Yamato,Green/Yellow,2,Green,Yellow,4,5000
Yamato,2025-07-09,1st,Online,ChinoizeCup,eb-02-deck-list-anime-25th-collection,OP06-022,Yamato,Green/Yellow,2,Green,Yellow,4,5000
Yellow Betty,2025-05-17,1st,Store TC,JAKs,eb-02-deck-list-anime-25th-collection,OP05-002,Belo Betty,Red/Yellow,2,Red,Yellow,4,5000
Yellow Betty,2025-05-18,2nd,Online,Chinoize Cup,eb-02-deck-list-anime-25th-collection,OP05-002,Belo Betty,Red/Yellow,2,Red,Yellow,4,5000
Yellow Blue Nami,2025-06-20,1st,SB,GeeklogiaShop,eb-02-deck-list-anime-25th-collection,OP11-041,Nami,Blue/Yellow,2,Blue,Yellow,4,5000
Yellow Enel,2025-05-31,T8,TC,TAK Games,eb-02-deck-list-anime-25th-collection,OP05-098,Enel,Yellow,1,Yellow,--,4,5000
Yellow Enel,2025-05-28,1st,Store TC,Wizards Asylum,eb-02-deck-list-anime-25th-collection,OP05-098,Enel,Yellow,1,Yellow,--,4,5000
Yellow Enel,2025-05-16,1st,Store TC,Rocket Card Shop,eb-02-deck-list-anime-25th-collection,OP05-098,Enel,Yellow,1,Yellow,--,4,5000
Yellow Enel,2025-05-12,1st,SB,Primal Cards and Collectables,eb-02-deck-list-anime-25th-collection,OP05-098,Enel,Yellow,1,Yellow,--,4,5000
Yellow Green Law,2025-05-29,1st,SB,Good Games,eb-02-deck-list-anime-25th-collection,OP10-022,Trafalgar Law,Green/Yellow,2,Green,Yellow,4,5000
Yellow Kid,2025-05-25,1st,Store TC,Anique Store,eb-02-deck-list-anime-25th-collection,OP10-099,"Eustass""Captain""Kid",Yellow,1,Yellow,--,5,5000
Yellow Kid,2025-05-31,T16,TC,TAK Games,eb-02-deck-list-anime-25th-collection,OP10-099,"Eustass""Captain""Kid",Yellow,1,Yellow,--,5,5000
Yonko Luffy,2025-06-06,1st,SB,LGS,eb-02-deck-list-anime-25th-collection,OP09-061,Monkey.D.Luffy,Purple/Black,2,Purple,Black,4,5000
Yonko Luffy,2025-06-15,1st,SB,Lets Play Collectibles and Things,eb-02-deck-list-anime-25th-collection,OP09-061,Monkey.D.Luffy,Purple/Black,2,Purple,Black,4,5000
Yonko Luffy,2025-06-14,T8,Regional,Versus Games,eb-02-deck-list-anime-25th-collection,OP09-061,Monkey.D.Luffy,Purple/Black,2,Purple,Black,4,5000
Yonko Luffy,2025-06-14,2nd,Regional,Versus Games,eb-02-deck-list-anime-25th-collection,OP09-061,Monkey.D.Luffy,Purple/Black,2,Purple,Black,4,5000
Yonko Luffy,2025-06-09,1st,SB,LGS,eb-02-deck-list-anime-25th-collection,OP09-061,Monkey.D.Luffy,Purple/Black,2,Purple,Black,4,5000
Yonko Luffy,2025-06-22,T16,Regional,Amsterdam Regional,eb-02-deck-list-anime-25th-collection,OP09-061,Monkey.D.Luffy,Purple/Black,2,Purple,Black,4,5000
Yonko Luffy,2025-06-14,--,Regional,Versus Games,eb-02-deck-list-anime-25th-collection,OP09-061,Monkey.D.Luffy,Purple/Black,2,Purple,Black,4,5000
Yonko Luffy,2025-08-03,2nd,Regional,Paris Regional,eb-02-deck-list-anime-25th-collection,OP09-061,Monkey.D.Luffy,Purple/Black,2,Purple,Black,4,5000
Yonko Luffy,2025-06-13,1st,2v2,GeeklogiaShop,eb-02-deck-list-anime-25th-collection,OP09-061,Monkey.D.Luffy,Purple/Black,2,Purple,Black,4,5000
Yonko Luffy,2025-06-21,T4,Regional,LPG,eb-02-deck-list-anime-25th-collection,OP09-061,Monkey.D.Luffy,Purple/Black,2,Purple,Black,4,5000
Yonko Luffy,2025-07-15,1st,SB,The Card Haven,eb-02-deck-list-anime-25th-collection,OP09-061,Monkey.D.Luffy,Purple/Black,2,Purple,Black,4,5000
Yonko Luffy,2025-06-14,T4,Regional,Versus Games,eb-02-deck-list-anime-25th-collection,OP09-061,Monkey.D.Luffy,Purple/Black,2,Purple,Black,4,5000
Yonko Luffy,2025-08-03,1st,SB,CardCitadel,eb-02-deck-list-anime-25th-collection,OP09-061,Monkey.D.Luffy,Purple/Black,2,Purple,Black,4,5000
Yonko Luffy,2025-06-08,1st,SB,First Turn Games,eb-02-deck-list-anime-25th-collection,OP09-061,Monkey.D.Luffy,Purple/Black,2,Purple,Black,4,5000
Zoo Zoro,2025-05-17,2nd,TC,The Booster Box,eb-02-deck-list-anime-25th-collection,OP01-001,Roronoa Zoro,Red,1,Red,--,5,5000
Zoo Zoro,2025-05-16,1st,Store TC,TCG Ground,eb-02-deck-list-anime-25th-collection,OP01-001,Roronoa Zoro,Red,1,Red,--,5,5000
Zoo Zoro,2025-08-03,T8,Regional,Paris Regional,eb-02-deck-list-anime-25th-collection,OP01-001,Roronoa Zoro,Red,1,Red,--,5,5000
Zoo Zoro,2025-08-10,T16,Regional,OPE,eb-02-deck-list-anime-25th-collection,OP01-001,Roronoa Zoro,Red,1,Red,--,5,5000
Zoo Zoro,2025-08-01,T8,TC,PlayTCG,eb-02-deck-list-anime-25th-collection,OP01-001,Roronoa Zoro,Red,1,Red,--,5,5000
Zoro,2025-05-31,T16,TC,TAK Games,eb-02-deck-list-anime-25th-collection,OP01-001,Roronoa Zoro,Red,1,Red,--,5,5000
Zoro,2025-05-31,T8,TC,TAK Games,eb-02-deck-list-anime-25th-collection,OP01-001,Roronoa Zoro,Red,1,Red,--,5,5000
Zoro Zoo,2025-05-19,1st,Online,ChinoizeCup,eb-02-deck-list-anime-25th-collection,OP01-001,Roronoa Zoro,Red,1,Red,--,5,5000
Zoro Zoo,2025-05-26,1st,Store TC,Galactic Gamez,eb-02-deck-list-anime-25th-collection,OP01-001,Roronoa Zoro,Red,1,Red,--,5,5000
Zoro Zoo,2025-05-15,1st,ShopEvent,LCDG,eb-02-deck-list-anime-25th-collection,OP01-001,Roronoa Zoro,Red,1,Red,--,5,5000
Zoro Zoo,2025-05-10,T4,Regional,CartaMagica,eb-02-deck-list-anime-25th-collection,OP01-001,Roronoa Zoro,Red,1,Red,--,5,5000
BY Boa,2026-02-17,T8,optcgsim,ChinoizeCup,eb-03-deck-list-one-piece-heroines-edition,OP14-041,Boa Hancock,Blue/Yellow,2,Blue,Yellow,4,5000
BY Boa,2026-03-22,1st,HeroinesCup,LGS,eb-03-deck-list-one-piece-heroines-edition,OP14-041,Boa Hancock,Blue/Yellow,2,Blue,Yellow,4,5000
BY Boa,2026-02-22,T4,Redbull,Power9Games,eb-03-deck-list-one-piece-heroines-edition,OP14-041,Boa Hancock,Blue/Yellow,2,Blue,Yellow,4,5000
BY Boa,2026-03-09,1st,SB,Misato comics,eb-03-deck-list-one-piece-heroines-edition,OP14-041,Boa Hancock,Blue/Yellow,2,Blue,Yellow,4,5000
BY Boa,2026-03-08,1st,HeroinesCup,Kritik,eb-03-deck-list-one-piece-heroines-edition,OP14-041,Boa Hancock,Blue/Yellow,2,Blue,Yellow,4,5000
BY Boa,2026-02-28,1st,HeroinesCup,Good Games,eb-03-deck-list-one-piece-heroines-edition,OP14-041,Boa Hancock,Blue/Yellow,2,Blue,Yellow,4,5000
BY Boa,2026-02-18,2nd,optcgsim,ChinoizeCup,eb-03-deck-list-one-piece-heroines-edition,OP14-041,Boa Hancock,Blue/Yellow,2,Blue,Yellow,4,5000
BY Boa,2026-02-26,1st,SB,LaBatikueva,eb-03-deck-list-one-piece-heroines-edition,OP14-041,Boa Hancock,Blue/Yellow,2,Blue,Yellow,4,5000
BY Nami,2026-03-06,T4,Redbull,The Booster Box,eb-03-deck-list-one-piece-heroines-edition,OP11-041,Nami,Blue/Yellow,2,Blue,Yellow,4,5000
BY Nami,2026-03-20,1st,SB,La Casa dei Giochi,eb-03-deck-list-one-piece-heroines-edition,OP11-041,Nami,Blue/Yellow,2,Blue,Yellow,4,5000
BY Nami,2026-03-09,1st,HeroinesCup,Outpost Gamecenter,eb-03-deck-list-one-piece-heroines-edition,OP11-041,Nami,Blue/Yellow,2,Blue,Yellow,4,5000
BY Nami,2026-03-01,1st,2HeroinesCup,LGS,eb-03-deck-list-one-piece-heroines-edition,OP11-041,Nami,Blue/Yellow,2,Blue,Yellow,4,5000
BY Nami,2026-03-01,1st,HeroinesCup,LGS,eb-03-deck-list-one-piece-heroines-edition,OP11-041,Nami,Blue/Yellow,2,Blue,Yellow,4,5000
BY Nami,2026-02-27,1st,HeroinesCup,Pan Mysza,eb-03-deck-list-one-piece-heroines-edition,OP11-041,Nami,Blue/Yellow,2,Blue,Yellow,4,5000
BY Nami,2026-03-01,1st,HeroinesCup,Gameland LLC,eb-03-deck-list-one-piece-heroines-edition,OP11-041,Nami,Blue/Yellow,2,Blue,Yellow,4,5000
BY Nami,2026-03-01,2nd,ShopEvent,Masters of TCG,eb-03-deck-list-one-piece-heroines-edition,OP11-041,Nami,Blue/Yellow,2,Blue,Yellow,4,5000
BY Nami,2026-02-28,1st,HeroinesCup,LGS,eb-03-deck-list-one-piece-heroines-edition,OP11-041,Nami,Blue/Yellow,2,Blue,Yellow,4,5000
BY Nami,2026-03-14,1st,HeroinesCup,Hiveworld,eb-03-deck-list-one-piece-heroines-edition,OP11-041,Nami,Blue/Yellow,2,Blue,Yellow,4,5000
BY Nami,2026-03-01,T4,ShopEvent,Masters of TCG,eb-03-deck-list-one-piece-heroines-edition,OP11-041,Nami,Blue/Yellow,2,Blue,Yellow,4,5000
BY Nami,2026-03-18,1st,StoreTC,FANTASIASTORE,eb-03-deck-list-one-piece-heroines-edition,OP11-041,Nami,Blue/Yellow,2,Blue,Yellow,4,5000
BY Nami,2026-03-06,1st,SB,RanchoStore,eb-03-deck-list-one-piece-heroines-edition,OP11-041,Nami,Blue/Yellow,2,Blue,Yellow,4,5000
BY Nami,2026-02-24,1st,SB,LGS,eb-03-deck-list-one-piece-heroines-edition,OP11-041,Nami,Blue/Yellow,2,Blue,Yellow,4,5000
BY Nami,2026-02-21,1st,optcgsim,Heroine Battle,eb-03-deck-list-one-piece-heroines-edition,OP11-041,Nami,Blue/Yellow,2,Blue,Yellow,4,5000
BY Nami,2026-03-14,1st,StoreTC,GeeklogiaShop,eb-03-deck-list-one-piece-heroines-edition,OP11-041,Nami,Blue/Yellow,2,Blue,Yellow,4,5000
BY Nami,2026-02-21,2nd,optcgsim,Heroine Battle,eb-03-deck-list-one-piece-heroines-edition,OP11-041,Nami,Blue/Yellow,2,Blue,Yellow,4,5000
BY Nami,2026-03-22,T16,Regional,TAKGames,eb-03-deck-list-one-piece-heroines-edition,OP11-041,Nami,Blue/Yellow,2,Blue,Yellow,4,5000
BY Nami,2026-02-18,T8,optcgsim,ChinoizeCup,eb-03-deck-list-one-piece-heroines-edition,OP11-041,Nami,Blue/Yellow,2,Blue,Yellow,4,5000
BY Nami,2026-03-08,1st,HeroinesCup,LGS,eb-03-deck-list-one-piece-heroines-edition,OP11-041,Nami,Blue/Yellow,2,Blue,Yellow,4,5000
BY Nami,2026-03-01,1st,ShopEvent,Masters of TCG,eb-03-deck-list-one-piece-heroines-edition,OP11-041,Nami,Blue/Yellow,2,Blue,Yellow,4,5000
BY Nami,2026-03-03,1st,SB,Nextturncards,eb-03-deck-list-one-piece-heroines-edition,OP11-041,Nami,Blue/Yellow,2,Blue,Yellow,4,5000
BY Nami,2026-02-17,T4,optcgsim,ChinoizeCup,eb-03-deck-list-one-piece-heroines-edition,OP11-041,Nami,Blue/Yellow,2,Blue,Yellow,4,5000
BY Nami,2026-03-07,1st,HeroinesCup,Mitsuwa,eb-03-deck-list-one-piece-heroines-edition,OP11-041,Nami,Blue/Yellow,2,Blue,Yellow,4,5000
BY Nami,2026-02-16,2nd,optcgsim,ChinoizeCup,eb-03-deck-list-one-piece-heroines-edition,OP11-041,Nami,Blue/Yellow,2,Blue,Yellow,4,5000
BY Nami,2026-02-27,1st,HeroinesCup,LGS,eb-03-deck-list-one-piece-heroines-edition,OP11-041,Nami,Blue/Yellow,2,Blue,Yellow,4,5000
BY Nami,2026-03-01,1st,HeroinesCup,Retro Quest,eb-03-deck-list-one-piece-heroines-edition,OP11-041,Nami,Blue/Yellow,2,Blue,Yellow,4,5000
BY Nami,2026-02-28,1st,HeroinesCup,LGS,eb-03-deck-list-one-piece-heroines-edition,OP11-041,Nami,Blue/Yellow,2,Blue,Yellow,4,5000
Betty,2026-02-28,2nd,HeroinesCup,LGS,eb-03-deck-list-one-piece-heroines-edition,OP05-002,Belo Betty,Red/Yellow,2,Red,Yellow,4,5000
Betty,2026-03-07,1st,SB,Joyful Toad,eb-03-deck-list-one-piece-heroines-edition,OP05-002,Belo Betty,Red/Yellow,2,Red,Yellow,4,5000
Black Crocodile,2026-02-27,1st,SB,5alaCara,eb-03-deck-list-one-piece-heroines-edition,OP14-079,Crocodile,Black,1,Black,--,5,5000
Black Crocodile,2026-03-22,1st,StoreTC,Unsettled,eb-03-deck-list-one-piece-heroines-edition,OP14-079,Crocodile,Black,1,Black,--,5,5000
Egghead Luffy,2026-02-22,2nd,Redbull,LGS,eb-03-deck-list-one-piece-heroines-edition,ST29-001,Monkey.D.Luffy,Yellow,1,Yellow,--,6,5000
Egghead Luffy,2026-02-20,1st,SB,StarShop,eb-03-deck-list-one-piece-heroines-edition,ST29-001,Monkey.D.Luffy,Yellow,1,Yellow,--,6,5000
Egghead Luffy,2026-02-27,1st,SB,RanchoStore,eb-03-deck-list-one-piece-heroines-edition,ST29-001,Monkey.D.Luffy,Yellow,1,Yellow,--,6,5000
Egghead Luffy,2026-02-28,1st,Redbull,Level 7 games,eb-03-deck-list-one-piece-heroines-edition,ST29-001,Monkey.D.Luffy,Yellow,1,Yellow,--,6,5000
Egghead Luffy,2026-03-14,1st,StoreTC,LGS,eb-03-deck-list-one-piece-heroines-edition,ST29-001,Monkey.D.Luffy,Yellow,1,Yellow,--,6,5000
Five Elders,2026-03-15,1st,WorldChampionship,Bandai,eb-03-deck-list-one-piece-heroines-edition,OP13-079,Imu,Black,1,Black,--,4,5000
Five Elders,2026-02-17,1st,optcgsim,ChinoizeCup,eb-03-deck-list-one-piece-heroines-edition,OP13-079,Imu,Black,1,Black,--,4,5000
Five Elders,2026-03-01,1st,Redbull,The Gaming Guild,eb-03-deck-list-one-piece-heroines-edition,OP13-079,Imu,Black,1,Black,--,4,5000
Five Elders,2026-02-25,2nd,optcgsim,ChinoizeCup,eb-03-deck-list-one-piece-heroines-edition,OP13-079,Imu,Black,1,Black,--,4,5000
Five Elders,2026-03-14,1st,2StoreTC,Beyond Odyssey,eb-03-deck-list-one-piece-heroines-edition,OP13-079,Imu,Black,1,Black,--,4,5000
Five Elders,2026-03-06,T4,Redbull,The Booster Box,eb-03-deck-list-one-piece-heroines-edition,OP13-079,Imu,Black,1,Black,--,4,5000
Five Elders,2026-03-14,T8,optcgsim,ChinoizeCup,eb-03-deck-list-one-piece-heroines-edition,OP13-079,Imu,Black,1,Black,--,4,5000
Five Elders,2026-03-15,T4,StoreTC,MagicFranco,eb-03-deck-list-one-piece-heroines-edition,OP13-079,Imu,Black,1,Black,--,4,5000
Five Elders,2026-02-18,T4,optcgsim,ChinoizeCup,eb-03-deck-list-one-piece-heroines-edition,OP13-079,Imu,Black,1,Black,--,4,5000
Five Elders,2026-02-22,1st,SB,Magic Franco,eb-03-deck-list-one-piece-heroines-edition,OP13-079,Imu,Black,1,Black,--,4,5000
Five Elders,2026-03-22,T8,Regional,TAKGames,eb-03-deck-list-one-piece-heroines-edition,OP14-079,Crocodile,Black,1,Black,--,5,5000
Five Elders,2026-03-22,T8,TC,PlayTCG,eb-03-deck-list-one-piece-heroines-edition,OP13-079,Imu,Black,1,Black,--,4,5000
G Bonney,2026-03-01,1st,HeroinesCup,Dreamdaze Comics,eb-03-deck-list-one-piece-heroines-edition,OP07-019,Jewelry Bonney,Green,1,Green,--,5,5000
